tie;ajorata;kaista;osa;aet;let;tietyyppi;s_tietyyppi;katyyppi;s_katyyppi
1;2;22;10;480;1095;1;tie;2;ohitus
1;2;22;10;1095;3343;1;tie;2;ohitus
1;2;22;10;3343;4146;1;tie;2;ohitus
1;1;11;11;0;5390;1;tie;1;pääkaista
1;1;11;11;5390;6265;1;tie;1;pääkaista
1;1;12;11;0;5390;1;tie;2;ohitus
1;1;12;11;5390;6265;1;tie;2;ohitus
1;2;21;11;0;5390;1;tie;1;pääkaista
1;2;21;11;5390;6265;1;tie;1;pääkaista
1;2;22;11;0;5390;1;tie;2;ohitus
1;2;22;11;5390;6265;1;tie;2;ohitus
1;1;11;12;0;3129;1;tie;1;pääkaista
1;1;12;12;0;3129;1;tie;2;ohitus
1;2;21;12;0;3129;1;tie;1;pääkaista
1;2;22;12;0;3129;1;tie;2;ohitus
1;1;11;13;0;5469;1;tie;1;pääkaista
1;1;12;13;0;5469;1;tie;2;ohitus
1;2;21;13;0;5469;1;tie;1;pääkaista
1;2;22;13;0;5469;1;tie;2;ohitus
1;1;11;14;0;5201;1;tie;1;pääkaista
1;1;12;14;0;5201;1;tie;2;ohitus
1;2;21;14;0;5201;1;tie;1;pääkaista
1;2;22;14;0;5201;1;tie;2;ohitus
1;1;11;15;0;7464;1;tie;1;pääkaista
1;1;12;15;0;7464;1;tie;2;ohitus
1;2;21;15;0;7464;1;tie;1;pääkaista
1;2;22;15;0;7464;1;tie;2;ohitus
1;1;11;16;0;2327;1;tie;1;pääkaista
1;1;12;16;0;2327;1;tie;2;ohitus
1;2;21;16;0;2327;1;tie;1;pääkaista
1;2;22;16;0;2327;1;tie;2;ohitus
1;1;11;17;0;3371;1;tie;1;pääkaista
1;1;12;17;0;3371;1;tie;2;ohitus
1;2;21;17;0;3371;1;tie;1;pääkaista
1;2;22;17;0;3371;1;tie;2;ohitus
1;1;11;18;0;5490;1;tie;1;pääkaista
1;1;12;18;0;5490;1;tie;2;ohitus
1;2;21;18;0;5490;1;tie;1;pääkaista
1;2;22;18;0;5490;1;tie;2;ohitus
1;1;11;19;0;1992;1;tie;1;pääkaista
1;1;12;19;0;1992;1;tie;2;ohitus
1;2;21;19;0;1992;1;tie;1;pääkaista
1;2;22;19;0;1992;1;tie;2;ohitus
1;1;11;20;0;7778;1;tie;1;pääkaista
1;1;12;20;0;7778;1;tie;2;ohitus
1;2;21;20;0;7778;1;tie;1;pääkaista
1;2;22;20;0;7778;1;tie;2;ohitus
1;1;11;21;0;7551;1;tie;1;pääkaista
1;1;12;21;0;7551;1;tie;2;ohitus
1;2;21;21;0;7551;1;tie;1;pääkaista
1;2;22;21;0;7551;1;tie;2;ohitus
1;1;11;22;0;895;1;tie;1;pääkaista
1;1;11;22;895;8575;1;tie;1;pääkaista
1;1;12;22;0;895;1;tie;2;ohitus
1;1;12;22;895;8575;1;tie;2;ohitus
1;2;21;22;0;895;1;tie;1;pääkaista
1;2;21;22;895;8575;1;tie;1;pääkaista
1;2;22;22;0;895;1;tie;2;ohitus
1;2;22;22;895;8575;1;tie;2;ohitus
1;1;11;23;0;1530;1;tie;1;pääkaista
1;1;12;23;0;1530;1;tie;2;ohitus
1;2;21;23;0;1530;1;tie;1;pääkaista
1;2;22;23;0;1530;1;tie;2;ohitus
1;1;11;24;0;2820;1;tie;1;pääkaista
1;1;11;24;2820;6755;1;tie;1;pääkaista
1;1;12;24;0;2820;1;tie;2;ohitus
1;1;12;24;2820;6755;1;tie;2;ohitus
1;2;21;24;0;2820;1;tie;1;pääkaista
